"Zeit";"Einstrahlung auf die Horizontale ";"Diffusstrahlung auf die Horizontale ";"Außentemperatur ";"Netzeinspeisung ";"Netzbezug ";"Verbrauch ";"Einspeiseabregelung ";"Direkter Eigenverbrauch ";"Eigenverbrauch ";"Ladung des E-Fahrzeugs(PV-Anlage) ";"Ladung des E-Fahrzeugs(Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung ";"Entladen des E-Fahrzeugs ins Netz ";"Verluste durch Laden/Entladen ";"Ladung des E-Fahrzeugs (Gruppe 1) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 1) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 1)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 1)  ";"Verluste durch Laden/Entladen (Gruppe 1)  ";"Ladung des E-Fahrzeugs (Gruppe 2) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 2) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 2)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 2)  ";"Verluste durch Laden/Entladen (Gruppe 2)  ";"Ladung des E-Fahrzeugs (Gruppe 3) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 3) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 3)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 3)  ";"Verluste durch Laden/Entladen (Gruppe 3)  ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 1 ";"Zyklenbelastung (Elektrofahrzeug 1) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 2 ";"Zyklenbelastung (Elektrofahrzeug 2) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 3 ";"Zyklenbelastung (Elektrofahrzeug 3) ";"Globalstrahlung horizontal ";"Abweichung vom Standardspektrum ";"Bodenreflexion (Albedo) ";"Ausrichtung und Neigung der Modulebene ";"Abschattung ";"Reflexion an Moduloberfläche ";"Einstrahlung auf die Modul-Rückseite ";"Globalstrahlung auf Modul ";"PV Globalstrahlung ";"Bifazialität ";"Verschmutzung ";"STC Konversion (Modul-Nennwirkungsgrad) ";"PV Nennenergie ";"Schwachlichtverhalten ";"Modulspezifische Teilabschattung ";"Abweichung von der Nenn-Modultemperatur ";"Dioden ";"Mismatch (Herstellerangaben) ";"Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) ";"PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Unterschreitung der DC-Startleistung ";"Abregelung wegen MPP-Spannungsbereich ";"Abregelung wegen max. DC-Strom ";"Abregelung wegen max. DC-Leistung ";"Abregelung wegen max. AC-Leistung/cos phi ";"MPP Anpassung ";"PV-Energie (DC) ";"Energie am WR-Eingang ";"Abweichung der Eingangs- von der Nennspannung ";"DC/AC-Wandlung ";"Eigenverbrauch (Standby oder Nacht) ";"Kabelverluste Gesamt ";"PV-Energie (AC) abzgl. Standby-Verbrauch ";"Eingespeiste Energie ";
;kWh/m²;kWh/m²;°C;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;-;0_1;-;0_1;-;0_1;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;

Jahr;1023;596,66;10,369;4,3011E+05;3,1876E+06;4,0644E+06;0;9,5885E+05;1,005E+06;50404;80813;0;0;2624,3;8,3957E+10;1,374E+11;0;0;4,4272E+09;8,3957E+10;1,374E+11;0;0;4,4272E+09;1,3541E+10;1,6128E+10;0;0;5,9332E+08;0,51917;0,045837;0,51917;0,045837;0,74763;0,042869;1023;-10,23;9,8714;-45,92;-6,6459;-71,436;0;898,6;8,0046E+06;0;0;-6,3987E+06;1,6059E+06;-30018;-39100;-13761;-734,37;-30447;-8850,2;0;1,483E+06;-335,72;-101,98;0;0;-48,952;-1716,4;1,4808E+06;1,4808E+06;-4303,3;-37147;-1239,7;0;1,4381E+06;1,4394E+06;

Jan;20,451;12,431;2,3118;1651,8;3,8059E+05;3,9475E+05;0;24986;24987;1,1628;10690;0;0;213,83;2,0931E+06;1,8049E+10;0;0;3,6102E+08;2,0931E+06;1,8049E+10;0;0;3,6102E+08;0;2,3867E+09;0;0;4,7735E+07;0,54031;0;0,54031;0;0,72975;0;20,451;-0,20451;0,19735;-0,038399;-0,14253;-3,1395;0;17,124;1,5254E+05;0;0;-1,2186E+05;30677;-1442,9;-1429,8;1552,3;-30,258;-586,53;-403,11;0;28337;-27,689;-10,959;0;0;-0,54777;-52,052;28246;28246;-82,848;-1521,7;-141,02;0;26500;26641;
Feb;36,456;22,274;2,8843;7771,1;3,3116E+05;3,6421E+05;0;43113;43328;215,16;9948,2;0;0;203,27;3,8729E+08;1,6713E+10;0;0;3,4201E+08;3,8729E+08;1,6713E+10;0;0;3,4201E+08;0;2,3869E+09;0;0;4,7738E+07;0,53914;0;0,53914;0;0,75513;0;36,456;-0,36456;0,3518;-0,86164;-0,24875;-4,059;0;31,274;2,7858E+05;0;0;-2,2263E+05;55955;-1613;-1919,8;2489,1;-51,228;-1097,2;-599,37;0;53163;-22,835;-3,9777;0;0;-0,94089;-75,813;53059;53059;-158,53;-1799,7;-113,32;0;50988;51101;
Mär;77,961;45,137;5,5899;19255;3,0192E+05;3,8364E+05;0;90286;93009;2755,1;8463,8;0;0;224,38;4,7101E+09;1,429E+10;0;0;3,8001E+08;4,7101E+09;1,429E+10;0;0;3,8001E+08;4,9811E+08;1,8888E+09;0;0;4,7738E+07;0,54371;0;0,54371;0;0,75131;0;77,961;-0,77961;0,75231;-2,9365;-0,49677;-6,5494;0;67,951;6,0529E+05;0;0;-4,8381E+05;1,2148E+05;-2104,4;-3235;2755,4;-69,967;-2376,6;-792,89;0;1,1566E+05;-34,123;-9,2391;0;0;0;-135,96;1,1548E+05;1,1548E+05;-336,64;-2846,4;-107,7;0;1,1219E+05;1,123E+05;
Apr;124,57;65,711;9,9771;59766;2,0212E+05;3,1192E+05;0;1,1341E+05;1,1978E+05;6898,7;3528,3;0;0;208,54;1,1477E+10;6,0977E+09;0;0;3,515E+08;1,1477E+10;6,0977E+09;0;0;3,515E+08;1,8805E+09;5,064E+08;0;0;4,7738E+07;0,5408;0;0,5408;0;0,741;0;124,57;-1,2457;1,2021;-5,8542;-0,69121;-8,2569;0;109,72;9,7741E+05;0;0;-7,8134E+05;1,9607E+05;-2279,3;-4323,9;188,04;-81,739;-3791,4;-902,36;0;1,8488E+05;-16,516;-12,418;0;0;-2,4836;-198,02;1,8465E+05;1,8465E+05;-530,6;-4038;-87,179;0;1,7999E+05;1,8008E+05;
Mai;146,82;86,742;14,017;78885;1,9232E+05;3,1081E+05;0;1,2144E+05;1,297E+05;8979,8;2862;0;0;236,84;1,4878E+10;5,0737E+09;0;0;3,9903E+08;1,4878E+10;5,0737E+09;0;0;3,9903E+08;2,5721E+09;1,5584E+08;0;0;5,4558E+07;0,50496;0;0,50496;0;0,76996;0;146,82;-1,4682;1,4168;-7,7434;-0,95986;-8,0259;0;130,04;1,1584E+06;0;0;-9,261E+05;2,3231E+05;-3259,2;-5046,8;-3544,2;-86,498;-4407,5;-1044,5;0;2,1492E+05;-28,207;-10,83;0;0;-12,68;-230,53;2,1464E+05;2,1464E+05;-618,79;-4718,6;-76,992;0;2,0922E+05;2,093E+05;
Jun;154,34;89,791;16,784;83957;1,7506E+05;2,9885E+05;0;1,266E+05;1,3385E+05;7677,1;2750,1;0;0;208,54;1,2763E+10;4,8124E+09;0;0;3,5151E+08;1,2763E+10;4,8124E+09;0;0;3,5151E+08;2,1116E+09;2,7533E+08;0;0;4,7738E+07;0,50282;0;0,50282;0;0,73289;0;154,34;-1,5434;1,4894;-8,3644;-0,99929;-8,093;0;136,83;1,2189E+06;0;0;-9,7443E+05;2,4442E+05;-3575,2;-5168,1;-5819,7;-88,146;-4595,4;-1046,5;0;2,2413E+05;-43,066;-5,2117;0;0;-19,372;-237,19;2,2382E+05;2,2382E+05;-648,9;-4935,2;-65,382;0;2,1818E+05;2,1824E+05;
